product,img_url,price,url_of_item,description
AV Kabl DVI (muški) na DVI (muški) 3M Hama 42140,http://static.emmi.rs/images/products/200/m1150605.jpg,2.077,http://emmi.rs/kablovi-av-kabl-dvi-(mu%C5%A1ki)-na-dvi-(mu%C5%A1ki)-3m-hama-42140.11.html?productId=24317,
AV Kabl DVI (24+1) na DVI (24+1),http://static.emmi.rs/images/products/200/m1180129.jpg,1.099,http://emmi.rs/kablovi-av-kabl-dvi-(24+1)-na-dvi-(24+1).11.html?productId=37195,
AV Kabl 3 cinca (muška) na 3 cinca (muška) - 5m,http://static.emmi.rs/images/products/200/m1182653.jpg,649,http://emmi.rs/kablovi-av-kabl-3-cinca-(mu%C5%A1ka)-na-3-cinca-(mu%C5%A1ka)---5m.11.html?productId=38471,
AV Kabl 3 činča (muška) na 3 činča (muška) - 2m Ha...,http://static.emmi.rs/images/products/200/m1147661.jpg,454,http://emmi.rs/kablovi-av-kabl-3-%C4%8Din%C4%8Da-(mu%C5%A1ka)-na-3-%C4%8Din%C4%8Da-(mu%C5%A1ka)---2m-ha.11.html?productId=23075,Visoko kvalitetan kablsa posebnim 75 Ohm video kablom
AV Kabl 1x SCART (muški) na 2x SCART (muški),http://static.emmi.rs/images/products/200/m4713958.jpg,610,http://emmi.rs/kablovi-av-kabl-1x-scart-(mu%C5%A1ki)-na-2x-scart-(mu%C5%A1ki).11.html?productId=43814,AV kabl za konekciju 2 video rekordera na TV radi snimanja.
AV Kabal HT 3 činča (muški) na 3 činča (muški) 5.0...,http://static.emmi.rs/images/products/200/m4713957.jpg,3.199,http://emmi.rs/kablovi-av-kabal-ht-3-%C4%8Din%C4%8Da-(mu%C5%A1ki)-na-3-%C4%8Din%C4%8Da-(mu%C5%A1ki)-50.11.html?productId=43822,
Autodesk AutoCAD LT 2015 Commercial New SLM,http://static.emmi.rs/images/products/200/m1192929.jpg,109.680,http://emmi.rs/poslovne-aplikacije-autodesk-autocad-lt-2015-commercial-new-slm.11.html?productId=42220,"AutoCAD LT® je jedini profesoinalni 2D CAD program koji poseduje mogućnosti razmene informacija u WEB okruženju a u isto vreme Vam nudi 100% komaptibilnosti sa proizvodima koji se baziraju na AutoCAD platformi. Namenjen je korisnicima koji povremeno imaju potrebe za pregledom i obradom 2D tehničke dokumentacije nastale u programima koji koriste AutoCAD kao platformu. AutoCAD® LT ne podržava 3D projektovanje i nije moguće prilagoditi ga upotrebom nekog od programskih jezika (AutoLISP, ARX, VBA)."
Autodesk AutoCAD Design Suite Standard 2015 Commer...,http://static.emmi.rs/images/products/200/m1190047.jpg,405.600,http://emmi.rs/poslovne-aplikacije-autodesk-autocad-design-suite-standard-2015-commer.11.html?productId=41111,
Autodesk AutoCAD Design Suite Premium 2015 Commerc...,http://static.emmi.rs/images/products/200/m1190042.jpg,465.600,http://emmi.rs/poslovne-aplikacije-autodesk-autocad-design-suite-premium-2015-commerc.11.html?productId=41109,
Autodesk AutoCAD Design Suite Premium 2015 Commerc...,http://static.emmi.rs/images/products/200/m1190044.jpg,582.000,http://emmi.rs/poslovne-aplikacije-autodesk-autocad-design-suite-premium-2015-commerc.11.html?productId=41110,
Autodesk AutoCAD Architecture 2015 Commercial New ...,http://static.emmi.rs/images/products/200/m1190040.jpg,421.200,http://emmi.rs/poslovne-aplikacije-autodesk-autocad-architecture-2015-commercial-new-.11.html?productId=41104,
Autodesk AutoCAD Architecture 2015 Commercial New ...,http://static.emmi.rs/images/products/200/m1190041.jpg,525.600,http://emmi.rs/poslovne-aplikacije-autodesk-autocad-architecture-2015-commercial-new-.11.html?productId=41108,
Autodesk AutoCAD 2015 Commercial New SLM /DVD,http://static.emmi.rs/images/products/200/m1190035.jpg,356.990,http://emmi.rs/poslovne-aplikacije-autodesk-autocad-2015-commercial-new-slm--dvd.11.html?productId=41102,
Autodesk AutoCAD 2015 Commercial New NLM/DVD,http://static.emmi.rs/images/products/200/m1190038.jpg,449.299,http://emmi.rs/poslovne-aplikacije-autodesk-autocad-2015-commercial-new-nlm-dvd.11.html?productId=41103,
Auto zvucnici Xwave C3X6904,http://static.emmi.rs/images/products/200/m1113482.jpg,2.390,http://emmi.rs/auto-plejeri-zvu%C4%8Dnici-i-oprema-auto-zvucnici-xwave-c3x6904.11.html?productId=36386,"Četvorosistemski model Xwave C3X6904 ima snagu od 300W i dimenzije 15 x 23 cm. Membrana je izrađena od polipropilena i obložena je gumom za kvalitetniju reprodukciju zvuka. Auto zvučnici imaju frekventni opseg 35 Hz - 20 kHz, a impendansa iznosi 4 Ohm."
Auto zvucnici Sony XS-GT1728F,http://static.emmi.rs/images/products/200/m1193190.jpg,3.690,http://emmi.rs/auto-plejeri-zvu%C4%8Dnici-i-oprema-auto-zvucnici-sony-xs-gt1728f.11.html?productId=42570,Auto-zvučnici dizajnirani tako da se lako ugrađuju u automobile
Auto zvucnici Sony XS-GT1338F,http://static.emmi.rs/images/products/200/m1193188.jpg,3.690,http://emmi.rs/auto-plejeri-zvu%C4%8Dnici-i-oprema-auto-zvucnici-sony-xs-gt1338f.11.html?productId=42569,Zvučni sistem istinskog H-Fi kvaliteta zvuka
Auto zvucnici Sony XS-GT1328F,http://static.emmi.rs/images/products/200/m1193187.jpg,2.790,http://emmi.rs/auto-plejeri-zvu%C4%8Dnici-i-oprema-auto-zvucnici-sony-xs-gt1328f.11.html?productId=46565,
Auto zvucnici Sony XS-GT1038F,http://static.emmi.rs/images/products/200/m1193186.jpg,3.690,http://emmi.rs/auto-plejeri-zvu%C4%8Dnici-i-oprema-auto-zvucnici-sony-xs-gt1038f.11.html?productId=42568,
Auto zvucnici Sony XS-GT1028F,http://static.emmi.rs/images/products/200/m1193183.jpg,2.790,http://emmi.rs/auto-plejeri-zvu%C4%8Dnici-i-oprema-auto-zvucnici-sony-xs-gt1028f.11.html?productId=42567,
Auto zvučnici Xwave C06X4002,http://static.emmi.rs/images/products/200/m1113481.jpg,1.390,http://emmi.rs/auto-plejeri-zvu%C4%8Dnici-i-oprema-auto-zvu%C4%8Dnici-xwave-c06x4002.11.html?productId=16534,"Auto zvučnici Xwave C06X4002 poseduju snagu od 15W, uz frekvenciju od 65 Hz 21 kHz i impendansu od 4 Ohm. Prečnik ovih zvučnika iznosi 10 cm i oivičen je gumom za mekši zvuk."
Auto USB Player Sony DSX-A40UI,http://static.emmi.rs/images/products/200/m1193169.jpg,6.990,http://emmi.rs/auto-plejeri-zvu%C4%8Dnici-i-oprema-auto-usb-player-sony-dsx-a40ui-.11.html?productId=42565,
Auto punjač Samsung ECA-U21CBEGSTD,/images/basic/no-image-medium_.png,2.399,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-samsung-eca-u21cbegstd.11.html?productId=46415,
Auto punjač Samsung ECA-U21CBEGSTD,http://static.emmi.rs/images/products/200/m4712719.jpg,3.190,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-samsung-eca-u21cbegstd.11.html?productId=43160,
Auto punjač Samsung ECA-U16CBEGSTD,http://static.emmi.rs/images/products/200/m1178128.jpg,1.490,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-samsung-eca-u16cbegstd.11.html?productId=36592,
Auto punjač Samsung ACADU10CBECSTD,http://static.emmi.rs/images/products/200/m1174648.jpg,990,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-samsung-acadu10cbecstd.11.html?productId=35016,"Povezuje mobilni telefon sa automobilom radi punjenja, tako da možete da punite mobilni telefon i dok se vozite."
Auto punjač PURO za SAMSUNG GALAXY TAB,http://static.emmi.rs/images/products/200/m1175640.jpg,1.690,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-puro-za-samsung-galaxy-tab.11.html?productId=35565,
Auto punjač PURO MCHUSBBLK,http://static.emmi.rs/images/products/200/m1175643.jpg,890,http://emmi.rs/dodatna-oprema-auto-punja%C4%8D-puro-mchusbblk.11.html?productId=35568,
